,Unnamed: 0,Unnamed: 0.1,2连板,2连板个股,3连板,3连板个股,3连板以上个股,3连板以上个股数,代表股票,强弱,涨停,炸板,红盘,绿盘,跌停,连板
20,20,2021/2/18,6.0,宇通客车;广东榕泰;西部矿业;山东玻纤;晨鸣纸业;鑫铂股份,4.0,盛和资源;开滦股份;华康股份;章源钨业,金牛化工;中国黄金;李子园;京蓝科技,4.0,,,97.0,51.0,2632.0,346.0,4.0,83.0
21,21,2021/2/19,15.0,大唐电信;园城黄金;中房股份;陕西煤业;掌阅科技;朗博科技;全新好;新乡化纤;锡业股份;中泰化学;海得控制;海 利 得;众应互联;天山铝业;恒大高新,4.0,宇通客车;广东榕泰;山东玻纤;鑫铂股份,金牛化工;中国黄金;华康股份;章源钨业,4.0,,,95.0,22.0,2644.0,352.0,5.0,72.0
22,22,2021/2/22,18.0,鄂尔多斯;山鹰国际;绿庭投资;神马股份;株冶集团;德新交运;吉翔股份;中国宝安;沈阳化工;中水渔业;山东海化;兴化股份;天邦股份;惠程科技;东华能源;三泰控股;台海核电;优彩资源,7.0,中房股份;朗博科技;全新好;新乡化纤;锡业股份;天山铝业;恒大高新,金牛化工;中国黄金;华康股份;鑫铂股份,4.0,,,82.0,103.0,1928.0,1007.0,9.0,53.0
23,23,2021/2/23,6.0,中盐化工;江苏索普;深桑达Ａ;远兴能源;宏达新材;华昌化工,4.0,鄂尔多斯;德新交运;兴化股份;优彩资源,金牛化工;中国黄金;朗博科技;华康股份;新乡化纤;鑫铂股份,6.0,,,50.0,27.0,936.0,2004.0,2.0,34.0
24,24,2021/2/24,6.0,金瑞矿业;园城黄金;览海医疗;小康股份;航天工程;郑中设计,1.0,江苏索普,中国黄金;兴化股份;鑫铂股份,3.0,,,39.0,13.0,1343.0,1535.0,20.0,29.0
25,25,2021/2/25,7.0,济民制药;吉翔股份;深深房Ａ;皇庭国际;嘉凯城;众应互联;仁东控股,1.0,金瑞矿业,中国黄金,1.0,,,41.0,29.0,1029.0,1881.0,4.0,32.0
26,26,2021/2/26,7.0,东方通信;申通地铁;德新交运;嵘泰股份;王力安防;全新好;优彩资源,3.0,济民制药;皇庭国际;仁东控股,金瑞矿业;中国黄金,2.0,,,40.0,22.0,1149.0,1749.0,6.0,28.0
27,27,2021/3/1,9.0,北矿科技;一拖股份;中材节能;苏州龙杰;博天环境;亚联发展;齐峰新材;远大智能;天禾股份,2.0,王力安防;优彩资源,金瑞矿业;济民制药;仁东控股,3.0,,,81.0,29.0,2571.0,364.0,5.0,67.0
28,28,2021/3/2,8.0,太化股份;新洁能;美达股份;北清环能;中钢国际;章源钨业;华斯股份;盐津铺子,3.0,一拖股份;中材节能;博天环境,,0.0,,,35.0,18.0,896.0,2051.0,13.0,24.0
29,29,2021/3/3,6.0,青海春天;山西焦化;必得科技;赣能股份;伟星新材;雪迪龙,3.0,章源钨业;华斯股份;盐津铺子,一拖股份;中材节能,2.0,,,79.0,24.0,2407.0,511.0,0.0,68.0
30,30,2021/3/4,11.0,东安动力;金牛化工;新钢股份;小康股份;天安新材;金浦钛业;苏常柴Ａ;鞍钢股份;豫能控股;仁东控股;征和工业,1.0,雪迪龙,一拖股份;中材节能;章源钨业,3.0,,,38.0,20.0,954.0,1950.0,14.0,23.0
31,31,2021/3/5,7.0,郑州煤电;苏美达;蓝科高新;韩建河山;亚翔集成;美好置业;准油股份,1.0,仁东控股,中材节能,1.0,,,55.0,13.0,2018.0,908.0,9.0,46.0
32,32,2021/3/8,9.0,太原重工;森特股份;济民制药;朗博科技;深圳能源;德展健康;南岭民爆;宝馨科技;惠博普,2.0,郑州煤电;准油股份,中材节能;仁东控股,2.0,,,45.0,30.0,770.0,2173.0,24.0,32.0
33,33,2021/3/9,9.0,华银电力;尚纬股份;全新好;宜华健康;太钢不锈;台海核电;瑞和股份;新宏泽;实丰文化,3.0,太原重工;森特股份;南岭民爆,郑州煤电;准油股份,2.0,,,30.0,20.0,493.0,2481.0,37.0,16.0
34,34,2021/3/10,2.0,永茂泰;兰州黄河,1.0,华银电力,森特股份4,1.0,,,32.0,21.0,760.0,2192.0,12.0,28.0
35,35,2021/3/11,4.0,星宇股份;长源电力;凯美特气;顺博合金,1.0,永茂泰,森特股份5;华银电力4,2.0,,,67.0,28.0,2674.0,288.0,0.0,60.0
36,36,2021/3/12,9.0,华能水电;酒钢宏兴;怡球资源;中材节能;焦作万方;神火股份;兴化股份;川润股份;杭锅股份,2.0,长源电力;顺博合金,华银电力,1.0,,,44.0,33.0,1551.0,1353.0,4.0,31.0
37,37,2021/3/15,4.0,双良节能;德新交运;清源股份;大东海A,2.0,焦作万方;兴化股份,华银电力,2.0,,,43.0,26.0,1448.0,1461.0,12.0,35.0
38,38,2021/3/16,7.0,菲达环保;合兴股份;深物业A;台海核电;长高集团;首航高科;弘宇股份;美邦服饰,0.0,,华银电力7;焦作万方4;兴化股份4,3.0,,,56.0,22.0,2186.0,729.0,6.0,45.0
39,39,2021-03-17,6.0,宏盛股份;闽东电力;安妮股份;中利集团;哈三联;顺博合金,4.0,菲达环保;合兴股份;深物业A;台海核电;美邦服饰,,0.0,,,48.0,18.0,1558.0,1327.0,3.0,37.0
40,40,2021-03-18,5.0,江泉实业;方大特钢;西藏城投;绿景控股;希努尔,2.0,哈三联;顺博合金,菲达环保4;美邦服饰4,2.0,,,55.0,20.0,1306.0,1586.0,3.0,46.0
41,41,2021-03-19,12.0,西昌电力;园城黄金;中国黄金;森特股份;贵州三力;长源电力;闽发铝业;华通热力;豪美新材;欣贺股份;南网能源;鑫铂股份,1.0,江泉实业,哈三联4;顺博合金4;顺控发展9,3.0,,,49.0,19.0,1172.0,1725.0,5.0,33.0
42,42,2021-03-22,8.0,金山股份;华银电力;新天绿能;节能风电;四方股份;陕鼓动力;合兴股份;双成药业,7.0,西昌电力;中国黄金;长源电力;闽发铝业;华通热力;欣贺股份;南网能源,哈三联5;顺博合金5;顺控发展10,3.0,,,75.0,26.0,2468.0,470.0,5.0,57.0
43,43,2021-03-23,11.0,菲达环保;国联证券;中材节能;金徽酒;园林股份;蓝天燃气;深圳能源;榕基软件;凯美特气;惠博普;荣联科技,1.0,新天绿能,长源电力4;华通热力4;顺博合金6;南网能源4;顺控发展11,5.0,,,48.0,31.0,841.0,2130.0,30.0,31.0
44,44,2021-03-24,10.0,大晟文化;博天环境;乾景园林;同力日升;长龄液压;游族网络;东晶电子;亚联发展;乐通股份;楚天龙,5.0,菲达环保;金徽酒;园林股份;深圳能源;惠博普,新天绿能4;长源电力5;华通热力5;顺控发展12,4.0,,,57.0,21.0,982.0,1939.0,29.0,38.0
45,45,2021-03-25,7.0,弘业股份;重庆燃气;岳阳林纸;蓝科高新;一鸣食品;顺利办;安妮股份,6.0,博天环境;乾景园林;同力日升;长龄液压;亚联发展,顺控发展13,1.0,,,45.0,26.0,1173.0,1740.0,25.0,31.0
46,46,2021-03-26,8.0,新赛股份;日播时尚;迎丰股份;葫芦娃;美邦服饰;章源钨业;搜于特;雪迪龙;美邦服饰,2.0,重庆燃气;顺利办,乾景园林4;同力日升4;长龄液压4;顺控发展14,5.0,,,70.0,26.0,2291.0,584.0,3.0,55.0
47,47,2021-03-29,11.0,通宝能源;新天绿能;新疆火炬;正川股份;洪通燃气;深圳能源;铁岭新城;粤 水 电;英联股份;华森制药;新疆交建,5.0,新赛股份;日播时尚;迎丰股份;葫芦娃;雪迪龙;美邦服饰,重庆燃气4;同力日升5;顺控发展15,4.0,,,61.0,32.0,1436.0,1495.0,5.0,41.0
48,48,2021-03-30,14.0,中油工程;京能电力;海天股份;中电电机;北方国际;中成股份;江铃汽车;中油资本;悦心健康;亚太药业;合众思壮;贝肯能源;华通热力;三和管桩,4.0,新天绿能;新疆火炬;洪通燃气;新疆交建,新赛股份4;重庆燃气5;迎丰股份4;雪迪龙4;顺控发展16;美邦服饰4,6.0,,,57.0,30.0,989.0,1969.0,13.0,33.0
49,49,2021-03-31,6.0,天富能源;祥龙电业;重庆水务;兰石重装;湖北能源;泰坦股份,7.0,中油工程;京能电力;海天股份;中电电机;北方国际;中成股份;华通热力,新赛股份5;新疆火炬4;迎丰股份5;雪迪龙5;新疆交建4;顺控发展17;美邦服饰5,6.0,,,73.0,27.0,1649.0,1247.0,6.0,54.0
50,50,2021-04-01,11.0,大有能源;通宝能源;济民制药;永茂泰;渤海股份;豫能控股;中化岩土;仁东控股;普路通;宝明科技;楚天龙,1.0,泰坦股份,海天股份4;中电电机4;北方国际4;中成股份4;顺控发展18,5.0,,,68.0,27.0,1526.0,1401.0,13.0,51.0
51,51,2021-04-02,14.0,士兰微;华翔股份;江苏新能;德利股份;阳光股份;银星能源;康强电子;悦心健康;如意集团;美邦服饰;高乐股份;元隆雅图;哈三联;中晶科技,5.0,永茂泰;豫能控股;中化岩土;宝明科技;楚天龙,海天股份5;中电电机5;泰坦股份4;顺控发展19,4.0,,,63.0,21.0,1427.0,1434.0,6.0,40.0
52,52,2021-04-06,6.0,宝光股份;天富能源;惠而浦;南天信息;丹邦科技;金发拉比,5.0,华翔股份;江苏新能;银星能源;美邦服饰;中晶科技,海天股份6;中电电机6;永茂泰4;豫能控股4;中化岩土4;泰坦股份5;顺控发展20;楚天龙4,8.0,,,70.0,28.0,1956.0,923.0,6.0,51.0
53,53,2021-04-07,10.0,文投控股;新天绿能;济民制药;安正时尚;舒华体育;长源电力;远 望 谷;天沃科技;雪人股份;仁东控股,3.0,宝光股份;丹邦科技;金发拉比,华翔股份4;海天股份7;中电电机7;永茂泰5;银星能源4;豫能控股5;美邦服饰4;泰坦股份6;楚天龙5,9.0,,,85.0,28.0,1897.0,1022.0,2.0,63.0
54,54,2021-04-08,10.0,凌钢股份;葫芦娃;云南能投;章源钨业;恒大高新;地铁设计;征和工业;真爱美家;中农联合;华亚智能,5.0,新天绿能;舒华体育;长源电力;远 望 谷;雪人股份,海天股份8;丹邦科技4;金发拉比4;泰坦股份7;楚天龙6,5.0,,,40.0,45.0,896.0,2070.0,18.0,20.0
